喉 候
摈 撵
碧 翠
伙子 集团
巡哨 编人
刷白 皤皤
关紧 要紧
正派 法则
万众一心 举国同心
不苟 过细
小倒 生小
如约 讪谤
下地 泥滓
炳 蹦
日久天长 日久年深
炽烈 燃烧
单子 形式
加入 进口
丧气 颓败
头名 片头
一成不变 百世不易
便是 就算
怆恻 悲凉
照看 顾及
捉狭 缺德
复本 模仿
诽言 谰词
撰述 操作
气盛 狂躁
待遇 行阵
顶撞 顶板
吃食 进给
消失 隐沦
彩头 贯气
摹写 模写
检举 申报
钻冰取火 钻冰求火
正言 证据
干预 排解
严厉 烈烈
悲恸 惙怛
把弄 把玩
日安 晚近
幻梦 心愿
寒事 寒晩
肛 肛
七步成章 出口成章
削弱 妨害
空泛 肤浅
咙 嗓
便好 好尚
准头 精密
副本 笔录
念书 把卷
高官厚禄 高爵丰禄
底滞 阻塞
旭日东升 旭日初升
落墨 落笔
在在 整饬
选取 选用
原始 最初
污物 秽物
宫商 宫坊
名次 地方
鱼生空釜 鱼釜尘甑
五奴 五过
台座 底座
自谦 谦虚
判袂 异读
刚劲 壮实
孤高 骄蹇
柔肠寸断 肝肠痛断
句号 纪念
杜鹃 鹈𫛞
地痞 流氓
叨唠 纠缠
处之泰然 镇定自若
一律 划一
传播 鼓吹
横冲直闯 直撞横冲
翘望 翘足
倒败 塌台
布告 通告
出现 显现
不修边幅 衣衫褴褛
假托 通过
冷酷 峻厉
所以 这样
一知半解 眼光浅短
受命 奉命
愤懑 气忿
符号 署名
宽阔 粗放
响彻云霄 游响停云
壮阔 宏伟
深沉 玄妙
弥漫 满盈
步光 迈开
明珠弹雀 随珠弹雀
障碍 麻烦
开办 造始
学习 考求
着实 确实
伤害 偏见
保举 鹗荐
厅事 厅子
泥沼 皋隰
宽贷 藉词
书后 锦书
刹住 止步
刁难 梗塞
烧毁 销毁
广阔 恢恢
扒耳搔腮 抓耳搔腮
板块 阻挡
信用 信贷
品质 素质
亮堂 会意
排水 排泄
旁指曲谕 旁推侧引
大意 梗概
午夜 深夜
裁定 规矩
浓密 茂盛
即夜 立时
平毁 平直
啰嗦 累赘
兜翻 重犯
衔泪 谄泪
得神 神会
四近 附近
传人 授课
籼稻 籼米
漏洞 露馅
不任 不灵
奸诈 阴毒
切迫 紧迫
坚固 马厩
梯己 热络
俏皮 机捷
摩登 美丽
御驾 把作
劳碌 劳顿
创作 创制
抽取 汲取
暴敛 追逼
为非作歹 胆大妄为
变节 叛徒
拖宕 耽搁
它人 泼洒
局势 局面
擘划 计策
恃强施暴 据理力争
偷看 张望
拦阻 踬碍
脱漏 遗落
瘦削 纤微
洧 洹
张罗 操神
甜蜜 蜜甜
挥霍 虚耗
三亲六故 三亲六眷
儒学 儒家
栘枍 祎祎
劳碌 劳累
一再 几次
体貌 眉宇
导读 率领
放晴 转晴
晚期 端子
众生 家畜
出芽 秧子
轮箍 轮胎
咒文 拼读
分裂 散播
不上 无地
揉和 搓揉
得意 快意
养母 寄母
伯父 姑夫
歌乐 组歌
培养 磨琢
烝 迮
岔开 更动
焜上 焜烂
催促 赶快
傒落 舍弃
天都 节要
主义 教法
怪异 瑰异
无赖 烂崽
攻城徇地 攻城略地
朗 灿
取消 讪笑
忐忑不安 踧踖不安
吃教 噜嗦
覆冒 隐蔽
够数 够用
禾苗 秧子
一了百了 一笔勾销
协调 辑睦
依托 赡养
中心 正当
局限 额度
周到 懂事
口吻 笼嘴
公式 程式
发威 气结
世叔 皇叔
委顿 疲倦
完善 完竣
蜷缩 龟缩
安静 镇静
表兄 表哥
赶上 领先
改朝换代 革命创制
海鳅 鳅海
目眩 眼花
好 正
发红 酒晕
优良 精细
劫略 威逼
凄惨 寒酸
主见 意见
憧憬 翘足
二致 差分
环顾 瞵盼
御驾 石磨
松动 解开
网络 网路
木公 松脱
精液 精读
连篇累帙 连篇累帧
大意 大致
支持 燕翼
悲观 灰色
关心 存眷
私地 阉然
存 放
婵媛 飘洒
中华 算筹
梦中说梦 胡言乱语
告语 报告
惫懒 淘气
俨如 彷像
在理 通情
允许 准予
上门 密实
哄骗 骗局
咋唬 炫耀
清灰冷火 清灰冷灶
和缓 温温
凄惨 悲凉
丰实 宽裕
土祇 强勉
轻脆 鲜嫩
样子 派头
手段 权谋
形体 计算
标绘 痕迹
挤对 放刁
搏斗 斗殴
腹心之患 腹心之疾
佃户 租户
克核 毒辣
寻思 心田
匹配 般配
往后 此后
张冠李戴 指鹿为马
无所 无生
辒辌 魂车
前部 正面
凋零 大去
汇编 汇集
巍峨 魁伟
浑身 浑身
两面三刀 叶公好龙
吹吹打打 锣鼓喧天
一时 期间
厚此薄彼 欺软怕硬
破除 除去
开采 抽取
公路 官道
秋季 顿踬
憬悟 醒觉
刀耕火种 火耕水耨
道貌俨然 道貌岸然
撷取 服食
浮浅 皮毛
小 少
大哥 头子
导读 统领
其实 果然
防风 飘逝
行踪 行迹
灼烜 玄赜
狂悖 非分
溘然 霍然
三关 三袁
援助 欣戴
披肩 海角
尊奉 朝拜
跌落 降临
上演 展播
奇特 怪异
鉴定 鉴赏
生气 负气
孽海 自视
拒绝 谢却
传道 讲道
保守 守旧
惫赖 调皮
抚今悼昔 抚今追昔
拦网 板块
淫秽 粗鄙
片晌 转瞬
彳亍 步行
崩坏 故障
雍容尔雅 风姿绰约
心切 淳朴
干证 证人
系统 轨制
处斩 杀头
吃饭 进餐
地脚 基础
名论 声名
正当 真切
学海 宿学
净意 特意
天赋 赠礼
入手 动手
体裁 土刑
将次 销蚀
假说 果若
簇拥 蜂拥
珠沉玉碎 珠沉玉陨
推求 问讯
品种 滋生
劣势 弱势
心肝宝贝 掌上明珠
三灵 泠泠
克架 扭打
指授 统率
知情 领会
詈诅 诅詈
情味 词义
光明正大 堂堂正正
不止 非特
其后 后面
庆贺 祝贺
热络 生动
危害 危急
刻舟求剑 墨守成规
影响 累及
执行 推广
花蚨 花蹊
回避 推脱
指令 指示
眨眼 眼神
刀把 勾当
哜咨 邅徊
纡辔 顿辔
怡悦 甜美
衲袄 袍服
沦亡 陷落
光鲜 赫奕
种地 耕田
搞乱 贻误
场面 局势
东家 店主
多大 户口
计较 谛思
头绪 梗概
杂务 琐事
元气 朝气
回合 构陷
出货 摘录
污点 玷染
大器 接界
恳切 执手
简省 裁示
修缮 见新
扶养 豢养
外侨 胡人
无容 无过
洪垆 鸿胪
克核 酷烈
光亮 燃放
无所不包 无所不容
讲道 说教
奕 帅
分形同气 分形连气
姑夫 姑爹
夹缝 孔窍
翘翘 颀然
庄重 郑重
朴素无华 质朴无华
品緑 珍眉
积弱 衰败
晃 炫
七扭八歪 哩溜歪斜
安乐 安逸
叵信 玄乎
便捷 灵巧
布局 架构
个体 判袂
发凡 引见
不作为训 似是而非
虚张声势 装腔作势
可念 许可
治疗 视遇
一脸茫然 茫然若失
征兆 迹象
仔细 小心
狷 疹
纶巾 轻匀
余 盈
分解 破裂
轻松 轻飘
拥堵 拥挤
也罢 是否
弃绝 抛闪
称赞 褒扬
传播 转写
循次进取 论资排辈
养活 升高
反咬 咬咬
危害 危机
衰落 陵夷
笨蛋 蠢人
扎实 稳当
喷薄 泛滥
科场 考场
做亲 出嫁
优渥 宽弘
声明 阶层
在在 处处
敦朴 淳厚
仓廒 粮仓
料峭 漠然
拔起 揠补
操持 营聚
丢掉 脱落
外流 尾水
莲台 莲座
跄捍 驰骋
吐露 告诵
恻怛之心 恻隐之心
心疼 歉忱
暴戾 残忍
沉痛 痛苦
市曹 市面
人灯 单弱
堂堂正正 大公至正
怡 悦
波折 阻挠
研磨 碾磨
坐地 就坐
份儿 阵地
无情 残忍
徜徉 浪荡
净 洌
太监 宦官
良久 长久
十万火急 迫不及待
曲肱 臂腕
拔 超
包藏 容纳
位 座
发挥 精巧
诈语 谎言
病愈 痊愈
姿态 神态
沸 滚
马耳东风 马耳春风
优异 够味
拔 熄
传球 打发
以来 往后
汛情 洪水
宗教 教读
緑瓷 繁緑
绕 络
握手言欢 重归于好
希望 心愿
盖头 蒙子
外流 引流
求助 申诉
楠瘤 蝻虫
明亮 明朗
得力 麻俐
偏斜 挠曲
后边 回向
着数 谋划
合拢 截止
干系 责任
善贾而沽 待贾而沽
忽 旷
责任 非难
家宅 房舍
拖累 连累
家童 马快
企羡 钦服
付讬 讬付
没落 衰敝
截住 防碍
抵挡 阻拦
阿谀取容 阿谀逢迎
全科 尽皆
深处 深渊
损毁 摧残
立刻 随机
心口 那着
具名 标志
凿枘 相应
体裁 样式
伎俩 着数
得用 致用
子弟 孩童
灌输 贯注
煤炭 黑炭
上任 上台
峥 隗
彩头 造物
恋歌 酸曲
信服 敬佩
距跃 跳伞
然后 过后
永日 漫漫
粘糊 糊糊
撤军 退兵
以夜继日 倍日并行
捕获 破读
交锋 面影
质地 部署
敦笃 老实
淫亵 淫媟
租 购
根深本固 根深蒂结
蔓延 连延
上闻 前头
洗 籀
妇 妻
跌水 陡跌
弄死 诛锄
亲信 骨肉
深厚 邃密
其后 回头
优柔寡断 意马心猿
留传 赠遗
供养 养活
投降 输诚
恐怕 没准
炯 瞭
苎麻 龙须
苦水 苦痛
手脚 行为
依实 紧跟
侍候 操神
低沉 颓丧
多历年所 年深日久
痴汉 笨蛋
健全 听来
榨取 精读
儿子 孩童
将次 来今
冒头 来得
偏差 差讹
电唱机 留声机
进退失据 进退无据
强忍 角氐
机巧 灵巧
法王 王法
交关 繁杂
摘抄 萃取
激荡 荡漾
嘉勉 救应
屏幕 萤幕
佳儿 小童
逐 随
书后 来书
接点 接触
练就 练成
光芒 辉煌
杷罗剔抉 爬梳剔抉
丑诋 讪骂
华丽 缛绣
困扰 搅扰
拖曳 运程
交代 供认
减弱 降低
情理 正意
定位 龛影
伟人 圣人
攒集 聚敛
裁革 革除
枸 橼
伶俐 昭灼
天妃 学田
渌 爽
大斋 快捷
书香世家 书香门户
利落 敏捷
坚如磐石 安如泰山
意识 感知
学习 讲究
变动 改易
出具 配发
奥 深
高明 高贵
不讳 大去
烤肉 烧烤
体位 身段
客栈 旅舍
大方 宽厚
迟徊不决 迟疑未决
告帮 将伯
年辈 年齿
引导 辅导
主儿 头儿
储藏 养活
发红 潮红
聪慧 透亮
奸刁 狡黠
任教 讲授
起兴 起劲
实质 本质
兀然 猛地
好处 收获
凶煞 恶煞
具有 所有
博大精深 博学多才
明亮 暾暾
燕玉 阏郁
扒 摸
八两半斤 平分秋色
妁 媒
联想 遐想
跬步 蹞步
治 理
坟墓 松楸
穷乡僻壤 荒郊野外
奸滑 奸猾
举力 升力
仿单 图报
同谋 阴谋
投宿 栖息
陨泣 饮泣
切磋琢磨 取长补短
守候 承望
乞讨 恳求
绳愆纠缪 绳愆纠谬
急于求成 操之过急
相同 肖似
壮丽 壮观
没命 登仙
侦察 视察
绝顶 至为
答 答
一头 忽地
上寿 龟龄
娥娥 斐斐
友好 相好
朝气蓬勃 生机勃勃
死板 笨拙
付畀 达靼
成见 见解
宣告 宣明
自己 自我
不敢后人 不甘落后
扣 折
矢志 还愿
悉数 通盘
刹那 即刻
冗长 噜苏
卖俏营奸 卖俏迎奸
关白 通知
坍方 崩落
兴亡 荣华
便当 方便
取笑 调侃
分散 扩散
亏得 辛亏
汗漫 浩繁
声援 拥戴
原 平
发扬 表现
任教 授业
纴织 织造
俊俏 奇丽
牵涉 累及
末药 没药
数念 身段
发觉 检测
波折 阻滞
好生 甚为
亏欠 缺失
鱼笛 鱼笱
摆开 碍手
不辞劳苦 不辞辛苦
篡夺 虏获
继配 续弦
光景 白天
拼攒 集结
消隐 潜伏
宝藏 矿藏
傻瓜 笨人
边关 边域
杜门不出 闭门不出
奉陪 随同
教会 教读
殷切 诚恳
昭 景
丰富 富厚
涂乙 编撰
散地 细工
失败 挂念
梦境 梦幻
菁菁 蔼蔼
保不定 保不齐
解答 譬解
卓著 名优
妥帖 得当
忍气吞声 饮泣吞声
志向 愿望
会晤 接见
毁谤 谗谄
内行 行家
啴缓 轻省
讨平 释手
火寸 鹑火
军卒 护兵
夹杂 搀合
戈 盖
妙趣 逗人
寻觅 寻访
皎洁 聪慧
不会 不堪
呈请 申状
挥动 摇曳
修正 对头
审查 盘察
奶 膺
兵勇 徵士
摇摆 晃悠
依从 顺从
暴虎冯河 有勇无谋
收获 赏赐
潜在 隐密
停住 阻遏
无边无涯 无边无际
俊美 瑰丽
过火 过甚
晕厥 黄晕
残 破
观者如垛 观者成堵
儇儇 翾翾
杰 特
业已 已经
举荐 遴荐
技能 起解
告语 报信
序 饬
客店 旅社
写作 记下
支架 救援
夷犹 踟蹰
拜读 祭礼
铭心刻骨 铭心镂骨
安身 立足
羞赧 赧赧
忻悦 欣喜
老头 老者
地面 大地
希望 贪图
瞥地 霍地
干脆 浅露
安宁 自在
将 请
图样 图表
俭约 节流
惩恶 膺惩
呵禁 训斥
交付 托付
不屑 鄙夷
作态 关系
岸然 谨严
机床 母机
扊扅 插销
克服 收缴
兀然 猝然
样板 法程
推想 演绎
举家上下 阖门百口
粮 餐
败北 退步
愉快 邴邴
毛 浇
佩服 欣赏
俊美 姣好
指 看
怀恋 思念
以义割恩 以义断恩
怂恿 指使
况且 抑且
打杀 诛灭
分离 拆散
形状 表格
兵甲 战事
势头 处境
压制 抑制
跆藉 踹踏
弯曲 曲折
不料 孰料
低廉 低矮
纽带 链结
乔迁 迁次
发 拓
侮骂 呵责
剽疾 飗飗
添置 获得
凝练 凝聚
恍然大悟 翻然醒悟
纵横交错 错综复杂
遇难 遭灾
接近 来临
守候 放哨
禺谷 裕蛊
三事 三等
广博 深广
呆板 硬挺
出类拔萃 名列前茅
伙计 对家
敬 翊
上门 人称
声名鹊起 风生水起
弯子 拳曲
清洁 清真
活泼 生动
游览 瞻仰
承 晟
叮咛 嘱咐
狗胆包天 胆大包天
发挥 敷演
清乡 澄净
倒坍 凌迟
撩动 调弄
榨 浚
武谊 莁荑
平时 闲居
炎阳 骄阳
倒灌 倾诉
干 当
如日中天 如火如荼
指出 示意
援助 支持
阻拦 阻挠
京邑 资本
汇合 齐集
掩盖 粉饰
不渝 恒常
哦唷 嗯哎
争似 得似
指控 攻击
不可估量 举足轻重
安乐 安静
寄存 矿床
丰沛 丰衍
更替 置换
解法 言语
婵 秀
入夜 天黑
怕 怵
厄灾 浩劫
扭转 运动
受冷 沧凉
路途 道理
分送 差遣
顺意 骀荡
围栏 栅栏
旷世奇才 旷世逸才
分米 粉色
相信 确信
破读 败仗
挂心 顾忌
茅塞顿开 醍醐灌顶
含蕴 蕴涵
寿 庚
上天 逾迈
低三下四 低眉顺眼
光明正大 公平合理
风雨凄凄 风雨萧条
压 赛
全部 囫囵
栖遁 蛹卧
做派 指挥
固有 既有
酋豪 高尚
亮 秀
哎哟东施 邯郸学步
申讨 谴责
体现 表现
保存 储存
一气呵成 趁热打铁
空洞 空疏
才则 纔属
主题 论题
甚且 而且
謷丑 谮言
芳尘 荣问
变更 调动
忿然 怫然
开示 披露
引出 摘抄
判读 研判
盘曲 迆逦
涉及 牵涉
坚牢 稳当
主事 设法
霍然 风行
距离 跳空
暴戾恣睢 穷凶极恶
归并 编制
遁形 隐匿
总兵 阿炳
招权纳赇 揽权纳贿
跋前踬后 进退两难
忿懑 气愤
停歇 和息
冲突 攻击
旺盛 盎然
毛病 舛误
安静 安顿
侧目 悚悚
时日 过儿
捧 逢
太平 安闲
汝曹 轸恤
族 民
厚重 大方
气魄 精魂
审 省
恐 悚
冰冻 冻结
天下 海内
毛 生
占据 容与
捶胸顿足 痛心疾首
变换 改动
临盆 生产
忧心忡忡 愁肠寸断
急骤 造次
拨乱为治 拨乱反治
招展 飘舞
密谋 暗算
国内 民事
承袭 抱养
夸人 夸说
决裂 碎裂
笔调 色调
劭 嘉
万众一心 戮力同心
横溢 泛滥
考查 芸窗
楚丘 邹屠
差强人意 白璧微瑕
家僮 工役
军吏 校官
浥浥 湿润
日安 阒寂
决意 决计
洙 漓
走江湖 跑码头
对付 支吾
导致 打造
办法 度量
若明若暗 雾里看花
从者 跟人
剜肉补疮 杀鸡取卵
杳无音信 海底捞针
延期 淹缠
侮慢 放刁
激发 激起
刀把 符合
娇羞 怕羞
俨俨 猒猒
淝 濉
取便 提升
怀服 镇慑
播音 转交
怜惜 爱戴
安静 平宁
截止 打住
余势 澹澉
沈 眙
主脑 首领
了儿 观止
斗香 香纸
两下 两次
侧重 重视
作计 安排
咋唬 表现
打败 锤打
博学多才 大才盘盘
龙争虎战 龙争虎斗
兴趣 吃口
搭白 答问
不伤脾胃 惠而不费
油滑 淘气
派 群
衰飒 败落
逝世 逾迈
堪堪 方将
办理 跳腾
列侯 君子
储蓄 援救
晡食 朝馔
合著 端的
本份 盲动
碧緑 葱緑
脸孔 颜面
部下 部分
荤 鲁
禺号 褕衣
范本 领袖
招数 诱骗
会合 相遇
美好 良好
堂而皇之 明目张胆
连手 迤靡
保育院 幼儿园
精细 纤小
书简 尺书
烧伤 着火
吩咐 指令
口号 恢恢
分娩 生产
发行 打拼
区处 处置
居大不易 长安米贵
家宅 家室
相背而行 适得其反
位于 位处
八刀 划分
倓 恬
讨好 趋奉
正规 端正
主办 指挥
只道 臆断
熟悉 熟练
狮子座 狮子花
支吾 马虎
清雅 温雅
模范 规范
停步 停顿
酒席 酒筵
粗陋 鄙薄
残忍 狂暴
数点 算数
密致 蹲蹲
摩登 现代
悄怆 愁容
止境 额度
惹祸 生端
拉扯 补台
娓 应
发脾气 闹脾气
弘润 过所
前导 攻略
戒绝 死心
沙滩 海边
戚然 苦恼
棋高一着 略胜一筹
目前 面前
劲烈 暴力
残败 颓坏
估摸 估计
底本 蓝本
打断 插口
灵异 玄秘
任职 提调
冤屈 羊工
一般 公共
俱 皆
轻巧 轻松
伟岸 魁梧
摇 擞
驴唇不对马嘴 驴头不对马嘴
僧多粥少 十羊九牧
忧郁 郁伊
恋爱 慈爱
倚靠 倾向
害羞 怯生
内行 高手
收录 灌录
措意 留意
一往直前 高歌猛进
柔嫩 纤巧
崭然 非凡
偃衍 剡剡
告别 走人
明达 正当
冷淡 寂寥
闯过 阑入
益发 越发
威迫利诱 软硬兼施
劈裂 扫把
寂静 沉静
吃口 好恶
合同 约契
带电 负担
精锐 罅隙
今朝 而今
气门 活瓣
得知 知道
扎实 浓烈
容与 神情
身受 遭受
光滑 畅达
外场 社团
不讳 倒头
璀璨 颖慧
次数 烦数
弹跳 蹦高
忖思 揣度
惟利是图 爱财如命
持有 收纳
浑言 胡话
奁 奁
扯淡 胡说
扦 摆
称许 褒扬
仁王 菩萨
撤除 销铄
天涯海角 海北天南
哀辞 悲鸣
淑德 膏泽
同伴 错误
昆 胤
协议 契合
居安思危 防患未然
碧眼儿 西洋人
商铺 车间
偏方 渺茫
忍耐 隐忍
掉换 替换
和平 幽静
壮 棒
心满意足 称心快意
翻越 越过
击穿 戳破
倡导 提议
妖调 淫风
强抢 抢夺
传告 转达
弃旧图新 弃暗投明
应答 答覆
沈 重
中立 自主
水盆 盆子
筋斗 顿踣
提防 防御
协和 调协
沮丧 消极
召集 搜罗
水流 溪涧
强勉 治世
多角形 多边形
发作 暴发
低头耷脑 垂头丧气
数 量
梗塞 阻绝
杀身成仁 粉身碎骨
挈挈 独个
书厨 书橱
直接 辅导
愿望 欲求
创业 造意
胜仗 获胜
草率 莽撞
至 迄
哀怨 恶气
手法 花头
言 讲
劳困 怠倦
减弱 缩小
倒灶 塌方
撅头 杷头
毛遂自荐 自告奋勇
激情 热劲
惊鸿 飘洒
阴晦 阴霾
估摸 忖思
个中 其中
螾衍 阴蚪
悬念 疑团
任职 差委
俶尔 勃然
关系 理数
停摆 光圈
日干 晚晌
事情 艳遇
合法 正当
本籍 祖籍
不错 拨正
垫 沉
尘土 粉末
波纹 阵阵
胆小 软弱
芳华 青年
殡车 辒车
孜孜不倦 宵衣旰食
慧黠 锋锐
器用 指供
惊恐 错愕
黑压压 黑洞洞
愚氓 蠢材
冷库 堆栈
楠竹 毛竹
日光 耀眼
且则 谑嬲
夫子 学究
主家 家乘
米 糜
务必 总得
学术 理学
胡荽 芫荽
光亮 焕然
归趋 际遇
筹算 进度
停留 驻足
步辇 脚子
专任 固定
查果 漏窗
手舞足蹈 欢欣鼓舞
号头 码子
止戈 讶鼓
夜猫子 猫头鹰
下士 士官
幽昧 默念
不可一世 自高自大
官腔 板本
听 聆
持久 漫长
破解 训释
丰盛 油腻
中经 内使
承受 赞助
拆穿 露馅
调弄 逗弄
谋谟帷幄 飞谋荐谤
和欺 火棒
亡故 断气
不寒而栗 毛骨悚然
局面 情境
狴犴 系狱
想见 集聚
怡怿 漪漪
了解 收纳
娴雅 款式
周游 漫游
催迫 推举
贵客 贵宾
时势 时局
挪动 挪用
剥削 压榨
狐朋狗友 狼狈为奸
悔过 惋惜
实心 挚切
一跌不振 一蹶不振
了当 利落
节度 驾驭
光照 照明
名籍 挂号
大拿 大权
开场 爽朗
伸直 推及
石磨 经略
瞵睨 见风
伴当 配偶
惊讶 袭击
打勾 清点
仰制 控制
痂皮 结痂
油脂 石油
大军 陆军
蓦忽 遽尔
母线 汽车
相似 相像
全数 扫数
排斥 解除
下贱 鄙俗
历时 攻克
挺 矢
妙趣 聪了
鄙夫 阿拉
掮客 牙人
头童齿豁 蓬头历齿
不任 将无
完小 洪大
三家 三表
收敛 适度
搬场 迁徙
快乐 快活
凄然 感冒
光秃 裸露
敛眉 皱眉
分开 另外
昭 皎
俄然 忽而
不知所措 罔知所措
注意 细心
可靠 靠谱
兜售 清嗓
导读 指引
夸诩 自矜
一无所知 不学无术
垂头丧气 弃甲曳兵
修习 念念
安营 营盘
把捉 抓弄
次序 次第
和善 善良
夷由 姗姗
夷犹 迁逡
赤仄 赤帻
坚硬 稳固
女口 既然
糅合 编制
不学无术 目不识丁
不对劲 邪门儿
牛油 牛酪
位于 谎报
征召 稿底
物体 骨肉
特别 看家
丧 孝
有理 通情
坚不可摧 根深蒂固
即夜 顿刻
匹 匹
天伦之乐 天伦叙乐
哑然 姻娅
太阳神 阿波罗
加封 海豹
奂 祎
出来 来得
专修 收文
保持 停留
很 殊
冲劲 驱迫
骄傲 骄气
示警 警诫
大纲 崖略
差异 相反
幽都 成事
均分 等分
土气 村炮
畅茂 蓊郁
徯径 法门
当下 现１
誓言 许诺
朗诵 陈诉
卖相 风流
投石拔距 投石超距
芜乱 零乱
瞳孔 门生
脑筋 课长
大胆 悍然
衣冠 装潢
评语 评说
低头搭脑 低头耷脑
获得 赢得
譬如 诸如
十拿九稳 轻而易举
雅片 鸦片
土方 胡同
抽风 透气
艳羡 钦敬
申奏 赠送
介绍 鹗荐
自白 认罪
延续 赓续
合并 合并
原本 正本
怫郁 滞止
夷犹 迟疑
烦闷 黯惨
分 割
穷形尽相 绘声绘色
禁止 阻拦
未免 难免
民享 浑人
夸奬 谬赞
冲销 铺垫
外表 外貌
小行 小试
气分 烟雾
刹住 杜塞
本性 禀赋
结合 装订
亏得 多亏
夸大 扩充
无稽之谈 飞短流长
假而 就是
拜访 走访
学如登山 学如穿井
生动 闹忙
意思 意谓
嫌猜 疑心
连系 链节
愚钝 鲁钝
劭 钊
悯恤 悯恻
智术 蛇鼠
样式 模样
心惊肉跳 心胆俱碎
营生 谋生
关系 气宇
汇集 集合
讶异 骇异
演习 肄习
粘贴 黏附
核查 看看
迭意 迭謡
妥帖 得中
资格 长幼
元宰 辅弼
窘蹙 青盲
发鬓 被发
心不在焉 漫不经心
埋汰 肮脏
肺腑之言 金玉良言
盐余 私盐
初次 首次
临本 誊真
驱动 驱迫
亲 啵
瑕瑜互见 瑜不掩瑕
钏镯 镯头
皱领 襞褶
推辞 消乏
招儿 搬移
奘 油
端倪 边际
灾祸 祸事
暮景桑榆 桑榆末景
引入 引进
几 殆
使令 奴仆
盈利 落头
咕嘟 大器
依靠 支承
敷衍 精巧
抨击 进军
一般 恰似
仿 伪
减弱 木公
浏 窈
吉 祥
策动 荧惑
大经 把作
平面 银燕
勒子 雨泽
改写 纂修
感觉 词意
函件 音讯
沉鱼落雁 鱼沉雁落
抖擞 振兴
实况 气象
闪光 闪耀
概论 测量
天地 宇宙
归义 彝簋
以故 是以
小便 尿泡
专有 专门
拈酸吃醋 拈酸泼醋
出世 生人
买主 顾客
不露声色 面不改色
光巴 光赤
牵涉 缠累
拼合 缀合
恋 爱
恩断义绝 花残月缺
扳谈 攀谈
悦 欢
君临 龙图
方比 没世
掩饰 装饰
冷丁 电大
素丽 美丽
解免 避忌
瓦子 砖头
仍是 还是
安土乐业 安家乐业
传授 教授
千里 重读
凡庸 等闲
自取灭亡 自投罗网
增高 提及
唾 啐
扶掖 撑腰
告终 边头
礼俗 规正
勋绩 绩效
实意 真率
父亲 老爹
寺庙 神社
并包 相与
变节 叛变
全力以赴 拼死拼活
坦然 镇定
极点 顶点
牢记 记取
暴风骤雨 风雨如磐
出租 租金
忘 旷
便宜 甜头
淹没 肃清
把子 把柄
榜样 范例
口炎 挑逗
切断 折倒
缴纳 薪金
修补 缝缀
受穷 稀松
柄国 柄政
朝思暮想 牵肠挂肚
拆 爽
忧戚 愁闷
上门 细密
翻动 转悠
分诉 解说
厮杀 搏杀
烦躁 焦炙
佛门 法门
通讯 音信
且道 并合
念念 意见
刚强 坚硬
就手 已矣
退徙三舍 退避三舍
宪书 通书
刭拔 扯风
拦阻 雍阏
声称 宣告
子胥 徐娘
佳美 女子
瓠瓜 葫芦
俐落 坦率
依傍 模仿
先策 预见
论战 辩说
巩固 褂讪
说长道短 道长论短
逃避 隐匿
刚才 顷者
喧叫 喧嚷
木公 松散
佩紫怀黄 怀黄佩紫
综述 集中
干求 求告
内省 自反
娟娟 靓丽
泛读 浮浮
倚 接
做作 勉强
大 迈
学科 题材
苍茫 迷茫
扣留 滞留
作法 操练
光鲜 璀璨
烝黎 萌黎
上门 隔手
渴望 觊觎
歇 止
艳 艳
丰衣足食 家给人足
苟且 苟简
不怕 作算
协议 订定
令望 美誉
无与伦比 登峰造极
相当 较比
谦冲 谦抑
惭恨 遗憾
不任 没下
圈 林
拂拭 排除
拯救 营救
仲父 叔父
轻省 雍容
行止 运动
一毛不拔 锱铢必较
危如累卵 间不容发
丑剧 优俳
主宰 宰制
坎坷 粗略
奄 抱
搜罗 收拢
挖潜 潜存
进退两难 进退维艰
忪 泱
一语双关 指鸡骂狗
暖意 温情
哥子 母兄
老套 落套
交战 构兵
管制 羁束
下室 卧房
妥帖 稳当
意义 意译
护卫 镇守
凝思 打禅
器用 讨口
天分 天生
微漠 淡淡
书社 催迫
车轨 铁道
学样 踵武
磅礴 苍莽
不少 多多
豪情 骄贵
参本 哜咨
抗击 支吾
舛误 错误
眙 苏
愣 笨
不苟 廑念
东施效颦 里丑捧心
撅 撅
浑水摸鱼 混水摸鱼
忽视 枉顾
俄然 陡然
灾荒 荒馑
明火执杖 明目张胆
拣选 挑选
昧地瞒天 飞谋荐谤
看做 算得
主翁 夫子
凯旋 奏凯
劳神 缠磨
任性 任意
暗澹 黯淡
哨兵 尖兵
出发 起驾
戚戚 苦恼
驰驱 骤读
梗塞 阻挡
公墓 坟地
岩龉 欣豫
家常便饭 粗茶淡饭
两可 可可
圆滑 滑头
光明 火山
倾倒 抛售
垂垂 渐次
举止 方式
狼牙 琅琊
奔腾 驰驱
垮台 虚脱
昳丽 逸礼
告饶 讨饶
役夫 用人
将 饬
帮 社
济济一堂 群贤毕集
廐圉 廐置
参劾 弹纠
夸奖 礼赞
呆板 生硬
显现 眉宇
不能 不许
天荒 查果
两言 顶板
扶翼 支撑
污隆 长夫
检视 考察
放纵 纵令
撰 缀
宥恕 托词
八面玲珑 眼观六路
掌管 监察
崩倒 崩塌
报告 汇报
三婆 三牺
支架 欣戴
失误 欠缺
俚巷 漓湘
恬静 悄静
悲痛 惨然
破费 花费
